node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
AN07B032|L,AN07B032,L,ascending,4,2685.76,0,0,0,0,0.00
AN07B032|R,AN07B032,R,ascending,4,3052.77,0,0,0,0,0.00
AN07B035|L,AN07B035,L,ascending,25,14576.32,0,0,0,0,0.00
DNp45|L,DNp45,L,descending,19,8997.14,0,0,0,0,0.00
DNp45|R,DNp45,R,descending,24,11773.46,0,0,0,0,0.00
DNp46|L,DNp46,L,descending,14,10261.97,0,0,0,0,0.00
DNp46|R,DNp46,R,descending,14,9563.87,0,0,0,0,0.00
DNp47|L,DNp47,L,descending,36,22442.47,0,0,0,0,0.00
DNp47|R,DNp47,R,descending,33,19766.89,0,0,0,0,0.00
AN07B035|R,AN07B035,R,ascending,26,15672.14,0,0,0,0,0.00
AN07B036|L,AN07B036,L,ascending,35,28195.92,0,0,0,0,0.00
AN07B036|R,AN07B036,R,ascending,32,25458.55,0,0,0,0,0.00
AN07B037_a|L,AN07B037_a,L,ascending,57,22216.72,0,0,0,0,0.00
"DNp51,DNpe019|L","DNp51,DNpe019",L,descending,15,8526.49,0,0,0,0,0.00
"DNp51,DNpe019|R","DNp51,DNpe019",R,descending,15,7717.50,0,0,0,0,0.00
DNp53|L,DNp53,L,descending,21,14855.72,0,0,0,0,0.00
DNp53|R,DNp53,R,descending,29,19873.19,0,0,0,0,0.00
DNp54|L,DNp54,L,descending,24,15060.33,0,0,0,0,0.00
DNp54|R,DNp54,R,descending,16,9738.60,0,0,0,0,0.00
DNp55|L,DNp55,L,descending,39,23742.68,0,0,0,0,0.00
DNp55|R,DNp55,R,descending,38,22200.23,0,0,0,0,0.00
DNp56|L,DNp56,L,descending,11,6349.37,0,0,0,0,0.00
DNp56|R,DNp56,R,descending,11,6055.18,0,0,0,0,0.00
DNp57|L,DNp57,L,descending,17,11618.73,0,0,0,0,0.00
DNp57|R,DNp57,R,descending,18,11797.76,0,0,0,0,0.00
AN07B037_a|R,AN07B037_a,R,ascending,53,22480.34,0,0,0,0,0.00
AN07B037_b|L,AN07B037_b,L,ascending,51,20914.66,0,0,0,0,0.00
DNp59|L,DNp59,L,descending,43,26702.32,0,0,0,0,0.00
DNp59|R,DNp59,R,descending,40,24867.08,0,0,0,0,0.00
AN07B037_b|R,AN07B037_b,R,ascending,57,24560.66,0,0,0,0,0.00
DNp60|R,DNp60,R,descending,38,23002.25,0,0,0,0,0.00
AN07B040|L,AN07B040,L,ascending,18,6900.66,0,0,0,0,0.00
AN07B040|R,AN07B040,R,ascending,29,12959.32,0,0,0,0,0.00
AN07B041|L,AN07B041,L,ascending,9,4379.06,0,0,0,0,0.00
