permutation,primary,weighted,within_compartment,synapse_positions
937,2.02793e+08,3.17684e+10,1.28227e+08,1.76004e+08
938,2.0294e+08,3.21117e+10,1.28053e+08,1.75735e+08
939,2.02051e+08,3.06426e+10,1.27869e+08,1.7507e+08
940,2.03517e+08,3.20483e+10,1.28265e+08,1.76551e+08
941,2.03026e+08,3.17138e+10,1.27804e+08,1.75913e+08
942,2.02381e+08,3.32226e+10,1.27419e+08,1.75385e+08
943,2.03158e+08,3.24617e+10,1.27991e+08,1.75903e+08
944,2.03187e+08,3.2582e+10,1.27901e+08,1.7611e+08
945,2.02713e+08,3.23595e+10,1.27898e+08,1.7555e+08
946,2.03342e+08,3.26066e+10,1.28318e+08,1.7623e+08
947,2.03625e+08,3.14645e+10,1.28113e+08,1.76281e+08
948,2.03609e+08,3.28224e+10,1.28043e+08,1.76374e+08
949,2.02703e+08,3.26035e+10,1.28413e+08,1.754e+08
950,2.03093e+08,3.24626e+10,1.27523e+08,1.75875e+08
951,2.02491e+08,3.2051e+10,1.2797e+08,1.75518e+08
952,2.02709e+08,3.17571e+10,1.27818e+08,1.75537e+08
953,2.03499e+08,3.26205e+10,1.27901e+08,1.76315e+08
954,2.03674e+08,3.26372e+10,1.27801e+08,1.76434e+08
955,2.02538e+08,3.27794e+10,1.27527e+08,1.7581e+08
956,2.03285e+08,3.07359e+10,1.27635e+08,1.7607e+08
957,2.03659e+08,3.31701e+10,1.27823e+08,1.76502e+08
958,2.02829e+08,3.29035e+10,1.2778e+08,1.75884e+08
959,2.02736e+08,3.25884e+10,1.28225e+08,1.75762e+08
960,2.03248e+08,3.24174e+10,1.28004e+08,1.75908e+08
961,2.03099e+08,3.24944e+10,1.28095e+08,1.76245e+08
962,2.02758e+08,3.2068e+10,1.28121e+08,1.7573e+08
963,2.02523e+08,3.22988e+10,1.27674e+08,1.75572e+08
964,2.02709e+08,3.23494e+10,1.28028e+08,1.75786e+08
965,2.03185e+08,3.30942e+10,1.28102e+08,1.75617e+08
966,2.03234e+08,3.23207e+10,1.27793e+08,1.76241e+08
967,2.02738e+08,3.18686e+10,1.27872e+08,1.75903e+08
968,2.03335e+08,3.24266e+10,1.27819e+08,1.76036e+08
969,2.03132e+08,3.31407e+10,1.27667e+08,1.76129e+08
970,2.02658e+08,3.19011e+10,1.28659e+08,1.75861e+08
971,2.02197e+08,3.14779e+10,1.27956e+08,1.75502e+08
972,2.03505e+08,3.39313e+10,1.27724e+08,1.76462e+08
973,2.03168e+08,3.1579e+10,1.28051e+08,1.76243e+08
974,2.03133e+08,3.19589e+10,1.27957e+08,1.76271e+08
975,2.02696e+08,3.21402e+10,1.27835e+08,1.75864e+08
976,2.0281e+08,3.25326e+10,1.2826e+08,1.7564e+08
977,2.03133e+08,3.24461e+10,1.27972e+08,1.75876e+08
978,2.03059e+08,3.16951e+10,1.27711e+08,1.76087e+08
979,2.02788e+08,3.1828e+10,1.27827e+08,1.75716e+08
980,2.03326e+08,3.25889e+10,1.27975e+08,1.76199e+08
981,2.03475e+08,3.09125e+10,1.27609e+08,1.76262e+08
982,2.0254e+08,3.24995e+10,1.28255e+08,1.75805e+08
983,2.03862e+08,3.31828e+10,1.27732e+08,1.7677e+08
984,2.03263e+08,3.25478e+10,1.27979e+08,1.76411e+08
985,2.03347e+08,3.2007e+10,1.2785e+08,1.76399e+08
986,2.02967e+08,3.18307e+10,1.27722e+08,1.7621e+08
987,2.02907e+08,3.35783e+10,1.27886e+08,1.76259e+08
988,2.02724e+08,3.25005e+10,1.28004e+08,1.75623e+08
989,2.03299e+08,3.19141e+10,1.27843e+08,1.76353e+08
990,2.03297e+08,3.22779e+10,1.28086e+08,1.76194e+08
991,2.02356e+08,3.18068e+10,1.28403e+08,1.75255e+08
992,2.02711e+08,3.09701e+10,1.27753e+08,1.75723e+08
993,2.02743e+08,3.22851e+10,1.28015e+08,1.75671e+08
994,2.0321e+08,3.28061e+10,1.28001e+08,1.76328e+08
995,2.03917e+08,3.2419e+10,1.28217e+08,1.76573e+08
996,2.02948e+08,3.1939e+10,1.27788e+08,1.75911e+08
997,2.02753e+08,3.2028e+10,1.2832e+08,1.75987e+08
998,2.02987e+08,3.19764e+10,1.27536e+08,1.75819e+08
999,2.02521e+08,3.30889e+10,1.28271e+08,1.75888e+08
